Class_ID,IoU
0,0.7198102474212646
1,0.7420609593391418
2,0.9221999645233154
3,0.7691959738731384
4,0.688506007194519
5,0.806229293346405
6,0.7596889734268188
7,0.849861204624176
8,0.5100943446159363
9,0.59430330991745
10,0.5689297914505005
11,0.4347262680530548
12,0.7952185273170471
13,0.29554131627082825
14,0.3264150619506836
15,0.5266509056091309
16,0.6655665636062622
17,0.38408616185188293
18,0.7081351280212402
19,0.4580000042915344
20,0.8211579322814941
21,0.42043042182922363
22,0.6707338690757751
23,0.5705268383026123
24,0.16467155516147614
25,0.16411185264587402
26,0.32974061369895935
27,0.5817303657531738
28,0.6416661739349365
29,0.4677542448043823
30,0.5747390985488892
31,0.3125494122505188
32,0.07909998297691345
33,0.22545453906059265
34,0.3943288326263428
35,0.29425179958343506
36,0.5069555044174194
37,0.84302818775177
38,0.07800673693418503
39,0.3108528256416321
40,0.3838095963001251
41,0.10226466506719589
42,0.11246738582849503
43,0.2549129128456116
44,0.6669418811798096
45,0.3924087882041931
46,0.1819271594285965
47,0.6425807476043701
48,0.324036568403244
49,0.8468863368034363
50,0.20248295366764069
51,0.5325905680656433
52,0.36589041352272034
53,0.39608731865882874
54,0.8301901817321777
55,0.0
56,0.9244022965431213
57,0.5363692045211792
58,0.8043386936187744
59,0.0
60,0.009503696113824844
61,0.3148970603942871
62,0.0
63,0.11008723080158234
64,0.390929639339447
65,0.8828942179679871
66,0.5076644420623779
67,0.72291499376297
68,0.0
69,0.3500697612762451
70,0.5499025583267212
71,0.3000549077987671
72,0.2606150209903717
73,0.0
74,0.24272774159908295
75,0.47167855501174927
76,0.0
77,0.16563235223293304
78,-1.0
79,-1.0
80,0.07039105892181396
81,0.33474940061569214
82,0.33537936210632324
83,0.007349605206400156
84,-1.0
85,0.6105862855911255
86,0.06872662156820297
87,0.3506631553173065
88,0.44019031524658203
89,0.6024771928787231
90,0.9242597222328186
91,0.0
92,0.49165400862693787
93,0.1873655468225479
94,0.0
95,0.005236698780208826
96,0.10185269266366959
97,0.07364102452993393
98,0.18678556382656097
99,0.0
100,0.37620827555656433
101,0.008416833356022835
102,0.05493555963039398
103,-1.0
104,0.0
105,-1.0
106,0.21394604444503784
107,0.8596457242965698
108,0.5489537715911865
109,-1.0
110,0.42393767833709717
111,0.652335524559021
112,0.1292915791273117
113,0.7639175653457642
114,0.0
115,0.07954510301351547
116,0.18915285170078278
117,-1.0
118,0.6724512577056885
119,0.0
120,0.026517383754253387
121,0.0
122,0.0
123,0.0
124,0.4568485915660858
125,0.30061185359954834
126,0.07179555296897888
127,0.0
128,0.03689314052462578
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.28595077991485596
135,0.30812305212020874
136,0.00170575687661767
137,0.0
138,0.24143798649311066
139,0.44037356972694397
140,0.0
141,0.0
142,0.40959861874580383
143,0.5425467491149902
144,0.0
145,0.0
146,0.15151292085647583
147,0.16799230873584747
148,0.03330641984939575
149,0.3610265254974365
